Code,Name,Market,Marcap,corp_code,EPS,EPS_diluted,revenue,gross_profit,op_income,net_income,total_assets,current_assets,current_liab,total_liab,equity,data_year,fs_div
078930,GS,KOSPI,6411161082000,00500254,5988.0,,25297467000000.0,6191104000000.0,3060163000000.0,863517000000.0,35063398000000.0,5706980000000.0,6060442000000.0,35063398000000.0,18470356000000.0,2024,CFS
267270,HD건설기계,KOSPI,6380557694000,01205842,5595.0,,3438062302000.0,650824965000.0,190421614000.0,85966730000.0,3324625332000.0,2112846135000.0,1063541773000.0,3324625332000.0,1793830435000.0,2024,CFS
241560,두산밥캣,KOSPI,6048517701500,01032486,,,6269305000.0,1459816000.0,638867000.0,413029000.0,8169804000.0,3052266000.0,1678066000.0,3479665000.0,4690139000.0,2024,CFS
001040,CJ,KOSPI,6039638586000,00148540,2993.0,2993.0,43646656090000.0,12623822787000.0,2547483645000.0,151195776000.0,47496993224000.0,13697532273000.0,16904989037000.0,29750607288000.0,17746385936000.0,2024,CFS
034220,LG디스플레이,KOSPI,6015000000000,00105873,-5438.0,-5438.0,,2575419000000.0,,,32859566000000.0,10123037000000.0,15859084000000.0,32859566000000.0,8072807000000.0,2024,CFS
138930,BNK금융지주,KOSPI,5849664572050,00858364,2174.0,2174.0,,,875919821432.0,749976302023.0,152470490926534.0,,,152470490926534.0,11147574546601.0,2024,CFS
175330,JB금융지주,KOSPI,5826448424800,00980122,3439.0,3439.0,,,906079000000.0,692991000000.0,66721914000000.0,,,66721914000000.0,5724805000000.0,2024,CFS
454910,두산로보틱스,KOSPI,5788424214000,01105153,,,46829943837.0,9530330156.0,,,421690971946.0,342028598622.0,15446451719.0,421690971946.0,402501180228.0,2024,CFS
001440,대한전선,KOSPI,5723932110000,00113207,409.0,409.0,3291299375000.0,263386194000.0,115169757000.0,74190402000.0,2642726208000.0,1775776357000.0,920138410000.0,2642726208000.0,1496112472000.0,2024,CFS
088980,맥쿼리인프라,KOSPI,5512392139430,00435297,,,,,,,,,,,,,
271560,오리온,KOSPI,5448078989600,01238169,13271.0,13271.0,3104338576129.0,1196174532214.0,543587778241.0,533229552422.0,4308449797008.0,1647381241517.0,537615043736.0,4308449797008.0,3574045867619.0,2024,CFS
021240,코웨이,KOSPI,5265096494400,00170558,,,4310141694596.0,2783663729201.0,795373861343.0,565452186637.0,5761561091079.0,1771007871650.0,1877989167049.0,2565445323713.0,,2024,CFS
004020,현대제철,KOSPI,4997544648250,00145880,,,23226141091217.0,1393959296072.0,159492008580.0,,34743788025637.0,11459924503844.0,7699051534479.0,15410222889378.0,19333565136259.0,2024,CFS
022100,포스코DX,KOSPI,4925925219600,00155212,580.0,580.0,1473290670631.0,187522952033.0,108991969223.0,88599060003.0,892453016139.0,676687634640.0,355027712350.0,892453016139.0,525897500876.0,2024,CFS
036570,엔씨소프트,KOSPI,4912037016000,00261443,,,,,-109215374026.0,94115833907.0,3953941191414.0,1788536858276.0,322187630188.0,3953941191414.0,3063588634574.0,2024,CFS
062040,산일전기,KOSPI,4862795840000,00366438,3136.0,3061.0,333996550771.0,143563093705.0,109231906505.0,,492674198507.0,305188896644.0,52564399265.0,492674198507.0,434241887238.0,2024,OFS
002380,KCC,KOSPI,4852013166000,00105271,,,6658762417820.0,1630720958876.0,471118235184.0,293294512467.0,13108550142754.0,3994488398577.0,3230859313899.0,8069234736205.0,5039315406549.0,2024,CFS
088350,한화생명,KOSPI,4542411900000,00113058,936.0,936.0,,,1096965243506.0,866000982115.0,160146430758072.0,,,145868430021357.0,14278000736715.0,2024,CFS
066970,엘앤에프,KOSPI,4520069520200,00398701,-11266.0,-12595.0,1907478512809.0,-463475192763.0,-558685355192.0,-380729239417.0,2799831517733.0,1089837750806.0,1552202559623.0,2799831517733.0,,2024,CFS
489790,한화비전,KOSPI,4412685286000,01867758,,,,253113556489.0,-120362075.0,3210792631.0,1591146181854.0,996234441988.0,530103580800.0,766419408117.0,824726773737.0,2024,CFS
450080,에코프로머티,KOSPI,4409922125000,01311408,,,299846484651.0,-31123173763.0,-64719926202.0,-42686351369.0,1290236698738.0,426945927746.0,428984528487.0,1290236698738.0,,2024,OFS
251270,넷마블,KOSPI,4286527403300,00904672,313.0,308.0,,,215627215188.0,3216188118.0,8177066253496.0,1114816595237.0,1348239156045.0,8177066253496.0,5473860209795.0,2024,CFS
018880,한온시스템,KOSPI,4248726965280,00161125,-659.0,-659.0,9998723268169.0,812183664052.0,95537353794.0,-358595798106.0,10620252377496.0,4439022125072.0,5033806802743.0,10620252377496.0,2998738468366.0,2024,CFS
082740,한화엔진,KOSPI,4093082315100,00361008,968.0,968.0,,116340351068.0,71531721192.0,79159548487.0,1413101954226.0,785001242520.0,586563184908.0,1019806164340.0,393295789886.0,2024,OFS
353200,대덕전자,KOSPI,4091721390000,01478712,466.0,466.0,892135903752.0,61547000833.0,11259489061.0,23762727122.0,1088723750887.0,465866345845.0,159688137695.0,1088723750887.0,875513939249.0,2024,CFS
103590,일진전기,KOSPI,3938813214000,00683469,983.0,982.0,1577247371000.0,155643123000.0,79742010000.0,0.0,1249038272000.0,702238015000.0,606533501000.0,1249038272000.0,500309704000.0,2024,CFS
051900,LG생활건강,KOSPI,3909778274500,00356370,11281.0,11281.0,6811918756741.0,3560832396845.0,459045912180.0,203887730139.0,,2856048500735.0,1295900316472.0,,,2024,CFS
035250,강원랜드,KOSPI,3891577695000,00255619,,,1000300815704.0,418885150305.0,285790454716.0,456893167585.0,4700641154570.0,1213770948090.0,749911256800.0,4700641154570.0,3883662813757.0,2024,CFS
031210,서울보증보험,KOSPI,3889063008600,00112998,,,,,,,,,,,,,
000990,DB하이텍,KOSPI,3832754202800,00160843,5520.0,5520.0,1131167709804.0,386836726833.0,190838683363.0,229385888355.0,2396851168578.0,1194370198832.0,316866668877.0,2396851168578.0,2000688804317.0,2024,CFS
010060,OCI홀딩스,KOSPI,3790057096000,00148896,5077.0,5077.0,3577383349000.0,461046358000.0,101527729000.0,113723638000.0,8093654722000.0,4763348250000.0,1901359096000.0,3258113380000.0,4835541342000.0,2024,CFS
011790,SKC,KOSPI,3764108821200,00139889,-16663.0,-16663.0,1721564345604.0,-24933880085.0,123165366343.0,-578220907942.0,,1520451642691.0,2211034562287.0,,,2024,CFS
111770,영원무역,KOSPI,3731025605600,00776820,,,3517837283293.0,896349548644.0,315580583310.0,294535556555.0,5389722907461.0,3429710995583.0,727832706578.0,5389722907461.0,3895653089851.0,2024,CFS
012510,더존비즈온,KOSPI,3626102026000,00172291,2170.0,2170.0,402332391243.0,183993970188.0,88064046059.0,78026871531.0,1037613249183.0,215914131430.0,204315065486.0,482789066484.0,554824182699.0,2024,CFS
011170,롯데케미칼,KOSPI,3601690279800,00165413,,,,329850760006.0,,,34552330375053.0,8983401895060.0,8502342739017.0,14564385612175.0,19987944762878.0,2024,CFS
439260,대한조선,KOSPI,3513599654400,00182696,,,,,,,,,,,,,
036460,한국가스공사,KOSPI,3480200100000,00261285,13174.0,12422.0,84454000000.0,3412673000000.0,3003363000000.0,1148985000000.0,57669637000000.0,16968511000000.0,21266507000000.0,57669637000000.0,10826356000000.0,2024,CFS
017800,현대엘리베이터,KOSPI,3471403788000,00164724,,,2885296849309.0,587265391375.0,225738463277.0,193928194856.0,3573751146561.0,1536223960141.0,1638004530402.0,3573751146561.0,1342280676829.0,2024,CFS
001720,신영증권,KOSPI,3435960000000,00136721,,17868.0,,,170377256793.0,149387962241.0,10609935089040.0,,,8921462823065.0,1688472265975.0,2024,CFS
011780,금호석유화학,KOSPI,3433586769800,00106368,13423.0,,7155003786012.0,585555234194.0,272804307588.0,348602013402.0,8340238952259.0,2710939308766.0,1534476881893.0,2298015880753.0,6042223071506.0,2024,CFS
